song_name,kpop_artist_name,song_id,artist_id,artist_1,artist_id_1,artist_2,artist_id_2,artist_3,artist_id_3,artist_4,artist_id_4,artist_5,artist_id_5,artist_6,artist_id_6,artist_7,artist_id_7,artist_8,artist_id_8,artist_9,artist_id_9,artist_10,artist_id_10,artist_11,artist_id_11,artist_12,artist_id_12,artist_13,artist_id_13
Left and Right (Feat. Jung Kook of BTS) - Acapella,Jung Kook,0lWsA6TPYDRWenhCJrbfYu,6HaGTQPmzraVmaVxvz6EUc,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7, Jung Kook,6HaGTQPmzraVmaVxvz6EUc,,,,,,,,,,,,,,,,,,,,,,
Left and Right (feat. Jung Kook of BTS) - Sam Feldt Remix,Jung Kook,17IVw95dOZSIiq7dz4UWaD,6HaGTQPmzraVmaVxvz6EUc,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7, Jung Kook,6HaGTQPmzraVmaVxvz6EUc, Sam Feldt,20gsENnposVs2I4rQ5kvrf,,,,,,,,,,,,,,,,,,,,
Expectations,(G)I-DLE,3szFx3SyWFpRbehaPxpyqq,2AfmfGFbe0A0WsTYm0SDTx,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX, MINNIE,2pHkxVNynHBwQHhGaoBIXX, (G)I-DLE,2AfmfGFbe0A0WsTYm0SDTx,,,,,,,,,,,,,,,,,,,,
Nxde (Steve Aoki Remix),(G)I-DLE,6HXVUmiqWSg3OW6yr5mJCJ,2AfmfGFbe0A0WsTYm0SDTx, Steve Aoki,77AiFEVeAVj2ORpC85QVJs,,,,,,,,,,,,,,,,,,,,,,,,
TOMBOY (R3HAB Remix),(G)I-DLE,4y2SshixeFlqPprLmoZtJe,2AfmfGFbe0A0WsTYm0SDTx, R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,,,,,,,,,,,,,,,,,,,,,,,,
HWAA - Dimitri Vegas & Like Mike Remix,(G)I-DLE,6sUnwJgPUTHKBKnsKZr9PC,2AfmfGFbe0A0WsTYm0SDTx, Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,,,,,,,,,,,,,,,,,,,,,,,,
HWAA (Dimitri Vegas & Like Mike Remix),(G)I-DLE,0RQhP3hcJDm3acDcwZnJ7l,2AfmfGFbe0A0WsTYm0SDTx, Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,,,,,,,,,,,,,,,,,,,,,,,,
MORE,(G)I-DLE,6juLaduD4STCUDWT0AYun4,2AfmfGFbe0A0WsTYm0SDTx,K/DA,4gOc8TsQed9eqnqJct2c5v, Madison Beer,2kRfqPViCqYdSGhYSM9R0Q, (G)I-DLE,2AfmfGFbe0A0WsTYm0SDTx, Lexie Liu,6fs2or0cKLEM2xohWq8SoX, Jaira Burns,0tRFWXqKBBQcu5oFVOgVzX, Seraphine,4TqlcgMFDryY96KWcvrhTv, League of Legends,47mIJdHORyRerp4os813jD,,,,,,,,,,,,
THE BADDEST,(G)I-DLE,2V4Fx72svQRxrFvNT1eq5f,2AfmfGFbe0A0WsTYm0SDTx,K/DA,4gOc8TsQed9eqnqJct2c5v, (G)I-DLE,2AfmfGFbe0A0WsTYm0SDTx, Wolftyla,7qd6KGoABHifvXKeFNe2Yb, Bea Miller,1o2NpYGqHiCq7FoiYdyd1x, League of Legends,47mIJdHORyRerp4os813jD,,,,,,,,,,,,,,,,
POP/STARS,(G)I-DLE,5sbooPcNgIE22DwO0VNGUJ,2AfmfGFbe0A0WsTYm0SDTx,K/DA,4gOc8TsQed9eqnqJct2c5v, Madison Beer,2kRfqPViCqYdSGhYSM9R0Q, (G)I-DLE,2AfmfGFbe0A0WsTYm0SDTx, Jaira Burns,0tRFWXqKBBQcu5oFVOgVzX, League of Legends,47mIJdHORyRerp4os813jD,,,,,,,,,,,,,,,,
