name,id,top_kpop,genre,followers
 Xydo,0vcbn6MqAvgM8Gh6wh8d6X,0,['korean r&b'],38107
 Lindgren,0vk7Ds4u6waswHkzrfACVg,0,[],90
 QM,0wMU0ruU41VLCAdBaWBo1j,0,"['k-rap', 'korean underground rap']",6139
Gina,0yLJhwFVWO6K7sDah3PUdL,0,[],248
 Akon,0z4gvV4rjIZ9wHck67ucSV,0,['dance pop'],3743787
 VICTON,0ziR2zN0NFcB4x1G3P8cW3,0,"['k-pop', 'k-pop boy group']",886212
Trouble Maker,0ztjVBmFk6OuHq6XBBwMI9,0,['k-pop'],192102
 Crispi Crunch,10ec6gfQc8j9tzB8yq7MGF,0,['k-rap'],922
Dalshabet,10xsuRNvidaOLxWd3fRIel,1,"['k-pop', 'k-pop girl group']",173823
 Tiger JK,11S00dFcvNvJahis8MTGMD,0,['k-rap'],35923
Lee Seung Gi,12AUp9oqeJDhNfO6IhQiNi,1,['korean pop'],167135
 Ko Youngbae,135TOw1jqM2Bolkngy62nS,0,[],382
 Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,0,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",11032776
 KHAN,13jYpBHek9LD68d1ZwWmu5,0,[],5854
Girl's Day,13kJgvU22LHMsJtGWLmx7W,1,"['k-pop', 'k-pop girl group']",706600
 TAEMIN,13rF01aOogvnkuQXOlgTW8,1,['k-pop'],2677268
 Crown J,14D73AR7J5qqIzJwplkcda,0,['koligeet'],45408
MBLAQ,14f1WN9TUDVBK4sHUStmLG,1,"['k-pop', 'k-pop boy group']",296769
SE7EN,14yLuCwlBqteUdBqx9soJV,1,['k-pop'],160379
 KANG MINKYUNG,15Dv0lqpiL5zD6OqqwUEP4,0,['korean pop'],6339
 ELO,15KDb2KpZRvX1updtyinK1,0,"['k-rap', 'korean r&b']",30898
 U Sung Eun,15UyjlO0ZuDaSjXUGytDbI,0,['korean pop'],19309
YOON GUN,15dggb3DQ4suwIfBmqb3nm,0,[],2205
 JVKE,164Uj4eKjl6zTBKfJLFKKK,0,"['modern indie pop', 'pov: indie']",2302844
 Naeun,16Jm6AxcL9XKkwOemxmbXc,0,[],562
inverness,17aCDXnpzF1XYVe0QrsRvs,0,[],11553
 2 Chainz,17lzZA2AlOHwCwFALHttmp,0,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",7818478
 Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,0,"['houston rap', 'pop', 'rap', 'trap queen']",7682516
Jinho,181zIaSqvjAgUXxn7DkM3e,0,['korean ost'],858
Letter flow,19jNQxmNBaXJlXdvLHtrHY,0,[],468
BLACK NINE,1ADmxFIIuFl44lr14SZLoI,0,"['k-rap', 'korean trap']",1881
 NewKidd,1ASod2UqIYzO1NGvj1zTgW,0,['k-pop boy group'],39408
 Moon Kyoo,1AhVoVOXXDOP5pkhUvoSjH,0,[],625
88rising,1AhjOkOLkbHUfcHDSErXQs,0,['asian american hip hop'],894357
 Jeon Hyun Moo,1B4Fp50pmqvpiAZYJ23PMx,0,[],12
miss A,1BEohdSWSBggmO979tzRwW,1,"['k-pop', 'k-pop girl group']",900313
Mid Darth,1BTWuxfuMUSRMzVQ6qTtWF,0,[],22
 Kisum,1CArfopvfCxakFJHup55FW,0,['korean pop'],78667
 Fanxy Child,1CBjkH9nDLzLdyjXnwsXyv,0,[],4314
 The Word Alive,1CF8aEN939swnuIZGFI7Hk,0,"['melodic metalcore', 'metalcore', 'trancecore']",312397
 Svng,1CQSDDqF3X7UBkeOTowhxA,0,[],167
 Hanhae,1CjHzclPOS2unF1vRtgurF,0,['k-rap'],25876
 BEKA,1ClmHgLorY9RUCIvsTdT7A,0,['uk pop'],15404
 David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,0,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",25985974
Yoon Mirae,1Do4bSzfUl0KWL9r1fITu0,0,"['k-pop', 'korean ost', 'korean pop', 'korean r&b']",281646
 Jisun,1FY6b8FV3KmqbQnY07T1f0,0,[],2737
 Han Sang Won,1FvLMWYal74XUTRzfaUAc9,0,[],112
 NATTI NATASHA,1GDbiv3spRmZ1XdM1jQbT7,0,"['latin pop', 'rap latina', 'reggaeton', 'urbano latino']",9054412
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,0,"['art pop', 'dance pop', 'pop']",26396005
 Jeon So Min,1J3BfBC9Z9VRIpEUB64Rbw,0,[],639
 WOOSEOK,1JVVY2kKddJ0JkDkbEZk4V,0,[],15881
 Siilva,1Ju0lsag81P0VNBByS6R23,0,[],1313
 아이린,1KI2jxgNu5JCizqylCSFj5,0,[],5
 PARK NA RAE,1KazuhqoAgXY7FXbiEZ93B,0,[],21
 ERIK,1L1VfizWn4DkFt602yD80U,0,['v-pop'],811685
 J.seph,1LCD1ZKF5V4lWQKf5810yx,0,[],467
 MoonMoon,1LOeaOZCreokgQaauWT5rV,0,['k-indie'],86233
 Thur,1LvNe813XqkhzNmZH0UHLO,0,[],15
 PENOMECO,1MAUqH0haKBYbjpknTfreY,0,"['k-rap', 'korean r&b']",306719
 ZENE THE ZILLA,1MMbv4LTpwbh2APtXuwaZN,0,"['k-rap', 'korean hyperpop', 'korean trap', 'korean underground rap']",28528
 D-LITE,1OQxmfKN9UG5C7nr4MkasO,0,[],139334
 NARSHA,1OWVHV30ai3o8cgOTBVd72,0,[],13682
 SULLI,1OjcBoc71FwlzD5cJGx7xk,0,['k-pop'],260315
 오현우,1PQQMG99o0K7BBYAwVpTqf,0,[],51
 Kanto,1Pr77yszl1ikj6k9sy4Cju,0,['k-rap'],10477
Beast,1Pr9gT0veB2tgcisQeIGoC,1,"['k-pop', 'k-pop boy group']",469465
T-ARA,1R52cwGf75yTf7I3Q0Irf8,1,"['k-pop', 'k-pop girl group']",787163
HYUKOH OHHYUK x INWOO,1RUonXSUvmmDfQOp2CQuCH,0,[],5
 Jung AH,1SYHnHX97OjM7hHhxlAq1T,0,[],0
J.Y. Park,1TTx0YcbKUtJIZY1HEnh9B,1,['classic k-pop'],113444
 CORSAK,1TcbdifqhtxLz77unBYJ7z,0,['chinese electropop'],38063
 Microdot,1ToWoFmtIc9NTPFy7lR690,0,['k-rap'],6392
